sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3,formatted_datetime
1,8/6/2021 16:50,7.1,-14,-14,6/8/21 16:50
2,8/6/2021 17:00,4,132,21,6/8/21 17:00
3,8/6/2021 17:10,1,103,126,6/8/21 17:10
4,8/6/2021 17:20,0.9,116,115,6/8/21 17:20
5,8/6/2021 17:30,0.9,119,115,6/8/21 17:30
6,8/6/2021 17:40,0.9,117,118,6/8/21 17:40
7,8/6/2021 17:50,0.9,121,118,6/8/21 17:50
8,8/6/2021 18:00,0.9,121,120,6/8/21 18:00
9,8/6/2021 18:10,0.9,118,123,6/8/21 18:10
10,8/6/2021 18:20,0.9,129,124,6/8/21 18:20
11,8/6/2021 18:30,0.9,129,121,6/8/21 18:30
12,8/6/2021 18:40,0.9,127,124,6/8/21 18:40
13,8/6/2021 18:50,0.9,128,124,6/8/21 18:50
14,8/6/2021 19:00,0.9,120,124,6/8/21 19:00
15,8/6/2021 19:10,0.8,130,126,6/8/21 19:10
16,8/6/2021 19:20,0.9,126,125,6/8/21 19:20
17,8/6/2021 19:30,0.9,123,124,6/8/21 19:30
18,8/6/2021 19:40,0.8,133,123,6/8/21 19:40
19,8/6/2021 19:50,0.8,132,130,6/8/21 19:50
20,8/6/2021 20:00,0.8,133,131,6/8/21 20:00
21,8/6/2021 20:10,0.8,128,134,6/8/21 20:10
22,8/6/2021 20:20,0.8,143,135,6/8/21 20:20
23,8/6/2021 20:30,0.8,135,132,6/8/21 20:30
24,8/6/2021 20:40,0.8,123,133,6/8/21 20:40
25,8/6/2021 20:50,0.8,137,136,6/8/21 20:50
26,8/6/2021 21:00,0.8,127,133,6/8/21 21:00
27,8/6/2021 21:10,0.8,138,136,6/8/21 21:10
28,8/6/2021 21:20,0.8,124,135,6/8/21 21:20
29,8/6/2021 21:30,0.8,138,134,6/8/21 21:30
30,8/6/2021 21:40,0.8,130,134,6/8/21 21:40
31,8/6/2021 21:50,0.8,133,130,6/8/21 21:50
32,8/6/2021 22:00,0.8,141,134,6/8/21 22:00
33,8/6/2021 22:10,0.7,132,131,6/8/21 22:10
34,8/6/2021 22:20,0.7,129,135,6/8/21 22:20
35,8/6/2021 22:30,0.7,141,138,6/8/21 22:30
36,8/6/2021 22:40,0.7,131,136,6/8/21 22:40
37,8/6/2021 22:50,0.7,142,136,6/8/21 22:50
38,8/6/2021 23:00,0.7,138,136,6/8/21 23:00
39,8/6/2021 23:10,0.7,133,137,6/8/21 23:10
40,8/6/2021 23:20,0.7,136,133,6/8/21 23:20
41,8/6/2021 23:30,0.7,141,134,6/8/21 23:30
42,8/6/2021 23:40,0.7,154,138,6/8/21 23:40
43,8/6/2021 23:50,0.7,135,139,6/8/21 23:50
44,9/6/2021 0:00,0.7,140,138,6/9/21 00:00
45,9/6/2021 0:10,0.7,136,137,6/9/21 00:10
46,9/6/2021 0:20,0.7,147,137,6/9/21 00:20
47,9/6/2021 0:30,0.7,134,138,6/9/21 00:30
48,9/6/2021 0:40,0.7,142,141,6/9/21 00:40
49,9/6/2021 0:50,0.7,142,138,6/9/21 00:50
50,9/6/2021 1:00,0.7,134,137,6/9/21 01:00
51,9/6/2021 1:10,0.7,143,139,6/9/21 01:10
52,9/6/2021 1:20,0.7,140,138,6/9/21 01:20
53,9/6/2021 1:30,0.7,141,137,6/9/21 01:30
54,9/6/2021 1:40,0.7,139,139,6/9/21 01:40
55,9/6/2021 1:50,0.7,146,142,6/9/21 01:50
56,9/6/2021 2:00,0.7,149,139,6/9/21 02:00
57,9/6/2021 2:10,0.7,136,139,6/9/21 02:10
58,9/6/2021 2:20,0.7,134,138,6/9/21 02:20
59,9/6/2021 2:30,0.7,137,139,6/9/21 02:30
60,9/6/2021 2:40,0.7,137,139,6/9/21 02:40
61,9/6/2021 2:50,0.7,134,139,6/9/21 02:50
62,9/6/2021 3:00,0.7,134,138,6/9/21 03:00
63,9/6/2021 3:10,0.7,126,140,6/9/21 03:10
64,9/6/2021 3:20,0.7,149,139,6/9/21 03:20
65,9/6/2021 3:30,0.7,138,142,6/9/21 03:30
66,9/6/2021 3:40,0.6,136,137,6/9/21 03:40
67,9/6/2021 3:50,0.6,132,138,6/9/21 03:50
68,9/6/2021 4:00,0.6,138,140,6/9/21 04:00
69,9/6/2021 4:10,0.6,141,137,6/9/21 04:10
70,9/6/2021 4:20,0.6,147,142,6/9/21 04:20
71,9/6/2021 4:30,0.6,144,142,6/9/21 04:30
72,9/6/2021 4:40,0.6,139,140,6/9/21 04:40
73,9/6/2021 4:50,0.6,141,138,6/9/21 04:50
74,9/6/2021 5:00,0.6,131,137,6/9/21 05:00
75,9/6/2021 5:10,0.6,137,139,6/9/21 05:10
76,9/6/2021 5:20,0.6,133,141,6/9/21 05:20
77,9/6/2021 5:30,0.6,131,137,6/9/21 05:30
78,9/6/2021 5:40,0.6,138,140,6/9/21 05:40
79,9/6/2021 5:50,0.6,136,141,6/9/21 05:50
80,9/6/2021 6:00,0.6,141,139,6/9/21 06:00
81,9/6/2021 6:10,0.6,137,142,6/9/21 06:10
82,9/6/2021 6:20,0.6,142,142,6/9/21 06:20
83,9/6/2021 6:30,0.6,140,141,6/9/21 06:30
84,9/6/2021 6:40,0.6,133,140,6/9/21 06:40
85,9/6/2021 6:50,0.7,141,142,6/9/21 06:50
86,9/6/2021 7:00,0.7,136,139,6/9/21 07:00
87,9/6/2021 7:10,0.7,139,140,6/9/21 07:10
88,9/6/2021 7:20,0.7,141,143,6/9/21 07:20
89,9/6/2021 7:30,0.7,143,141,6/9/21 07:30
90,9/6/2021 7:40,0.7,143,140,6/9/21 07:40
91,9/6/2021 7:50,0.7,142,141,6/9/21 07:50
92,9/6/2021 8:00,0.7,139,141,6/9/21 08:00
93,9/6/2021 8:10,0.7,142,143,6/9/21 08:10
94,9/6/2021 8:20,0.8,137,140,6/9/21 08:20
95,9/6/2021 8:30,0.8,138,139,6/9/21 08:30
96,9/6/2021 8:40,0.8,145,139,6/9/21 08:40
97,9/6/2021 8:50,0.8,138,141,6/9/21 08:50
98,9/6/2021 9:00,0.8,148,141,6/9/21 09:00
99,9/6/2021 9:10,0.8,139,141,6/9/21 09:10
100,9/6/2021 9:20,0.8,143,140,6/9/21 09:20
101,9/6/2021 9:30,0.9,139,139,6/9/21 09:30
102,9/6/2021 9:40,0.9,138,139,6/9/21 09:40
103,9/6/2021 9:50,0.9,139,137,6/9/21 09:50
104,9/6/2021 10:00,0.9,137,137,6/9/21 10:00
105,9/6/2021 10:10,0.9,145,137,6/9/21 10:10
106,9/6/2021 10:20,1,139,138,6/9/21 10:20
107,9/6/2021 10:30,1,138,136,6/9/21 10:30
108,9/6/2021 10:40,1.1,136,136,6/9/21 10:40
109,9/6/2021 10:50,1.1,137,136,6/9/21 10:50
110,9/6/2021 11:00,1.2,140,135,6/9/21 11:00
111,9/6/2021 11:10,1.2,135,135,6/9/21 11:10
112,9/6/2021 11:20,1.2,133,136,6/9/21 11:20
113,9/6/2021 11:30,1.3,140,134,6/9/21 11:30
114,9/6/2021 11:40,1.3,133,135,6/9/21 11:40
115,9/6/2021 11:50,1.4,134,135,6/9/21 11:50
116,9/6/2021 12:00,1.5,136,135,6/9/21 12:00
117,9/6/2021 12:10,1.5,137,135,6/9/21 12:10
118,9/6/2021 12:20,1.6,145,137,6/9/21 12:20
119,9/6/2021 12:30,1.7,137,135,6/9/21 12:30
120,9/6/2021 12:40,1.7,139,137,6/9/21 12:40
121,9/6/2021 12:50,1.7,139,134,6/9/21 12:50
122,9/6/2021 13:00,1.8,131,133,6/9/21 13:00
123,9/6/2021 13:10,1.8,138,134,6/9/21 13:10
124,9/6/2021 13:20,1.8,140,135,6/9/21 13:20
125,9/6/2021 13:30,1.9,135,133,6/9/21 13:30
126,9/6/2021 13:40,1.8,137,134,6/9/21 13:40
127,9/6/2021 13:50,1.8,123,131,6/9/21 13:50
128,9/6/2021 14:00,1.8,134,136,6/9/21 14:00
129,9/6/2021 14:10,1.8,142,136,6/9/21 14:10
130,9/6/2021 14:20,1.7,137,134,6/9/21 14:20
131,9/6/2021 14:30,1.6,142,135,6/9/21 14:30
132,9/6/2021 14:40,1.6,132,135,6/9/21 14:40
133,9/6/2021 14:50,1.6,137,134,6/9/21 14:50
134,9/6/2021 15:00,1.5,131,135,6/9/21 15:00
135,9/6/2021 15:10,1.5,133,137,6/9/21 15:10
136,9/6/2021 15:20,1.5,120,132,6/9/21 15:20
137,9/6/2021 15:30,1.5,126,133,6/9/21 15:30
138,9/6/2021 15:40,1.4,128,133,6/9/21 15:40
139,9/6/2021 15:50,1.2,130,134,6/9/21 15:50
140,9/6/2021 16:00,1.2,136,136,6/9/21 16:00
141,9/6/2021 16:10,1.3,141,133,6/9/21 16:10
142,9/6/2021 16:20,1.2,147,140,6/9/21 16:20
143,9/6/2021 16:30,1.2,144,137,6/9/21 16:30
144,9/6/2021 16:40,1.2,152,139,6/9/21 16:40
145,9/6/2021 16:50,1.2,142,140,6/9/21 16:50
146,9/6/2021 17:00,1.2,139,142,6/9/21 17:00
147,9/6/2021 17:10,1.2,136,139,6/9/21 17:10
148,9/6/2021 17:20,1.2,140,143,6/9/21 17:20
149,9/6/2021 17:30,1.2,144,141,6/9/21 17:30
150,9/6/2021 17:40,1.1,151,145,6/9/21 17:40
151,9/6/2021 17:50,1.1,144,142,6/9/21 17:50
152,9/6/2021 18:00,1.2,157,146,6/9/21 18:00
153,9/6/2021 18:10,1.2,140,143,6/9/21 18:10
154,9/6/2021 18:20,1.2,157,147,6/9/21 18:20
155,9/6/2021 18:30,1.1,152,145,6/9/21 18:30
156,9/6/2021 18:40,1.1,160,145,6/9/21 18:40
157,9/6/2021 18:50,1.1,144,152,6/9/21 18:50
158,9/6/2021 19:00,1.1,153,152,6/9/21 19:00
159,9/6/2021 19:10,1.1,145,143,6/9/21 19:10
160,9/6/2021 19:20,1,144,149,6/9/21 19:20
161,9/6/2021 19:30,1.1,153,151,6/9/21 19:30
162,9/6/2021 19:40,1.1,146,151,6/9/21 19:40
163,9/6/2021 19:50,1.1,135,148,6/9/21 19:50
164,9/6/2021 20:00,1.1,155,148,6/9/21 20:00
165,9/6/2021 20:10,1.1,147,147,6/9/21 20:10
166,9/6/2021 20:20,1.1,150,149,6/9/21 20:20
167,9/6/2021 20:30,1.1,141,147,6/9/21 20:30
168,9/6/2021 20:40,1.1,139,147,6/9/21 20:40
169,9/6/2021 20:50,1,148,151,6/9/21 20:50
170,9/6/2021 21:00,1,153,146,6/9/21 21:00
171,9/6/2021 21:10,1,147,150,6/9/21 21:10
172,9/6/2021 21:20,1,148,145,6/9/21 21:20
173,9/6/2021 21:30,1,157,150,6/9/21 21:30
174,9/6/2021 21:40,0.9,147,150,6/9/21 21:40
175,9/6/2021 21:50,0.9,153,151,6/9/21 21:50
